	Su2C					TCGA							
Class C/3 (Metabotropic glutamate/pheromone receptors)	8	0.727272727	2.412090757		6	0.545454545	0.934198733	11		Su2C	0	1	Su2C
Transport of Mature mRNA derived from an Intron-Containing Transcript	8	0.727272727	0.646669791		6	0.545454545	1.293339581	11		Su2C	0	1	Su2C
Non-integrin membrane-ECM interactions	9	0.818181818	1.07871978		6	0.545454545	0.820199532	11		Su2C	0	1	Su2C
Transport of inorganic cations/anions and amino acids/oligopeptides	13	1.181818182	1.167748416		6	0.545454545	0.820199532	11		Su2C	0	1	Su2C
NRAGE signals death through JNK	17	1.545454545	0.934198733		6	0.545454545	1.035725481	11		Su2C	0	1	Su2C
Cytosolic tRNA aminoacylation	6	0.545454545	0.522232968		5	0.454545455	0.934198733	11		Su2C	0	1	Su2C
Frs2-mediated activation	6	0.545454545	0.687551651		5	0.454545455	0.522232968	11		Su2C	0	1	Su2C
Prolonged ERK activation events	6	0.545454545	0.687551651		5	0.454545455	0.522232968	11		Su2C	0	1	Su2C
Interaction between L1 and Ankyrins	7	0.636363636	1.120064933		5	0.454545455	0.687551651	11		Su2C	0	1	Su2C
Nuclear signaling by ERBB4	7	0.636363636	0.924416278		5	0.454545455	0.820199532	11		Su2C	0	1	Su2C
Protein folding	7	0.636363636	0.809039835		5	0.454545455	0.820199532	11		Su2C	0	1	Su2C
Glucose transport	8	0.727272727	1.009049958		5	0.454545455	0.820199532	11		Su2C	0	1	Su2C
Ligand-gated ion channel transport	9	0.818181818	0.981649817		5	0.454545455	0.934198733	11		Su2C	0	1	Su2C
Sphingolipid metabolism	15	1.363636364	1.963299634		5	0.454545455	0.687551651	11		Su2C	0	1	Su2C
EGFR downregulation	5	0.454545455	0.687551651		4	0.363636364	1.206045378	11		Su2C	0	1	Su2C
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	5	0.454545455	0.820199532		4	0.363636364	0.924416278	11		Su2C	0	1	Su2C
Transport of Mature mRNA Derived from an Intronless Transcript	5	0.454545455	0.522232968		4	0.363636364	0.924416278	11		Su2C	0	1	Su2C
Transport of Mature mRNAs Derived from Intronless Transcripts	5	0.454545455	0.522232968		4	0.363636364	0.924416278	11		Su2C	0	1	Su2C
CRMPs in Sema3A signaling	6	0.545454545	0.820199532		4	0.363636364	0.504524979	11		Su2C	0	1	Su2C
Sema3A PAK dependent Axon repulsion	6	0.545454545	0.820199532		4	0.363636364	0.674199862	11		Su2C	0	1	Su2C
Signaling by FGFR1 mutants	6	0.545454545	0.934198733		4	0.363636364	0.924416278	11		Su2C	0	1	Su2C
Coenzyme A biosynthesis	7	0.636363636	1.120064933		4	0.363636364	0.674199862	11		Su2C	0	1	Su2C
Phosphorylation of the APC/C	7	0.636363636	0.674199862		4	0.363636364	0.504524979	11		Su2C	0	1	Su2C
Vitamin B5 (pantothenate) metabolism	7	0.636363636	1.120064933		4	0.363636364	0.674199862	11		Su2C	0	1	Su2C
Association of TriC/CCT with target proteins during biosynthesis	4	0.363636364	0.674199862		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Ca2+ activated K+ channels	4	0.363636364	0.674199862		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
cGMP effects	4	0.363636364	0.809039835		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Elastic fibre formation	4	0.363636364	0.674199862		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
GRB2 events in ERBB2 signaling	4	0.363636364	0.504524979		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
SHC1 events in ERBB4 signaling	4	0.363636364	0.504524979		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Transport to the Golgi and subsequent modification	4	0.363636364	0.504524979		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
DSCAM interactions	5	0.454545455	0.687551651		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
GABA A receptor activation	5	0.454545455	0.522232968		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Inactivation of APC/C via direct inhibition of the APC/C complex	5	0.454545455	0.522232968		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	5	0.454545455	0.522232968		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Laminin interactions	5	0.454545455	0.687551651		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Mitotic Spindle Checkpoint	5	0.454545455	0.522232968		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
mRNA Editing	5	0.454545455	0.522232968		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Nephrin interactions	5	0.454545455	0.687551651		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Recycling pathway of L1	5	0.454545455	0.820199532		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Signaling by FGFR1 fusion mutants	5	0.454545455	0.934198733		3	0.272727273	0.904534034	11		Su2C	0	1	Su2C
ZBP1(DAI) mediated induction of type I IFNs	5	0.454545455	0.934198733		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
APC-Cdc20 mediated degradation of Nek2A	6	0.545454545	0.522232968		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Nuclear Pore Complex (NPC) Disassembly	6	0.545454545	0.687551651		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Regulation of signaling by CBL	6	0.545454545	0.687551651		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Role of phospholipids in phagocytosis	6	0.545454545	0.934198733		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Synthesis of PIPs at the Golgi membrane	6	0.545454545	0.687551651		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
APC/C:Cdc20 mediated degradation of Cyclin B	7	0.636363636	0.674199862		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Chaperonin-mediated protein folding	7	0.636363636	0.809039835		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
Chondroitin sulfate biosynthesis	7	0.636363636	0.674199862		3	0.272727273	0.904534034	11		Su2C	0	1	Su2C
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	7	0.636363636	0.924416278		3	0.272727273	0.467099366	11		Su2C	0	1	Su2C
The activation of arylsulfatases	7	0.636363636	1.501514387		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Glycosphingolipid metabolism	10	0.909090909	1.445997611		3	0.272727273	0.646669791	11		Su2C	0	1	Su2C
Dopamine Neurotransmitter Release Cycle	3	0.272727273	0.467099366		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Downregulation of ERBB4 signaling	3	0.272727273	0.646669791		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Glutathione conjugation	3	0.272727273	0.646669791		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Keratan sulfate degradation	3	0.272727273	0.646669791		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Molecules associated with elastic fibres	3	0.272727273	0.467099366		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Opsins	3	0.272727273	0.646669791		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Pyrimidine metabolism	3	0.272727273	0.646669791		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Serotonin Neurotransmitter Release Cycle	3	0.272727273	0.467099366		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Synthesis of glycosylphosphatidylinositol (GPI)	3	0.272727273	0.467099366		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Telomere C-strand (Lagging Strand) Synthesis	3	0.272727273	0.467099366		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Transport of nucleotide sugars	3	0.272727273	0.646669791		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Beta-catenin phosphorylation cascade	4	0.363636364	0.504524979		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
DARPP-32 events	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Downregulation of SMAD2/3:SMAD4 transcriptional activity	4	0.363636364	0.504524979		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Export of Viral Ribonucleoproteins from Nucleus	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Extension of Telomeres	4	0.363636364	0.504524979		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Interactions of Rev with host cellular proteins	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
NEP/NS2 Interacts with the Cellular Export Machinery	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Norepinephrine Neurotransmitter Release Cycle	4	0.363636364	0.504524979		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Nuclear import of Rev protein	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Regulation of Glucokinase by Glucokinase Regulatory Protein	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Rev-mediated nuclear export of HIV RNA	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Transport of Ribonucleoproteins into the Host Nucleus	4	0.363636364	0.504524979		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
C6 deamination of adenosine	5	0.454545455	0.522232968		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	5	0.454545455	0.522232968		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Fatty Acyl-CoA Biosynthesis	5	0.454545455	0.934198733		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Formation of editosomes by ADAR proteins	5	0.454545455	0.522232968		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
mRNA Editing: A to I Conversion	5	0.454545455	0.522232968		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Sphingolipid de novo biosynthesis	5	0.454545455	0.934198733		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Transport of the SLBP Dependant Mature mRNA	5	0.454545455	0.522232968		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Transport of the SLBP independent Mature mRNA	5	0.454545455	0.522232968		2	0.181818182	0.603022689	11		Su2C	0	1	Su2C
Type I hemidesmosome assembly	5	0.454545455	0.687551651		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
TRAIL  signaling	7	0.636363636	0.504524979		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
Amino acid and oligopeptide SLC transporters	9	0.818181818	1.167748416		2	0.181818182	0.404519917	11		Su2C	0	1	Su2C
5-Phosphoribose 1-diphosphate biosynthesis	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
alpha-linolenic acid (ALA) metabolism	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
AMPK inhibits chREBP transcriptional activation activity	2	0.181818182	0.603022689		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
ERK1 activation	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
FGFR4 ligand binding and activation	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Glycolysis	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Glyoxylate metabolism	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
IRS activation	2	0.181818182	0.603022689		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Leading Strand Synthesis	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Linoleic acid (LA) metabolism	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
MASTL Facilitates Mitotic Progression	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Mitochondrial ABC transporters	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
NOSTRIN mediated eNOS trafficking	2	0.181818182	0.603022689		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Nucleotide-like (purinergic) receptors	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Orexin and neuropeptides FF and QRFP bind to their respective receptors	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
PKA-mediated phosphorylation of key metabolic factors	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Polymerase switching	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Polymerase switching on the C-strand of the telomere	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Processive synthesis on the lagging strand	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Regulation of innate immune responses to cytosolic DNA	2	0.181818182	0.603022689		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Removal of the Flap Intermediate	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Signaling by constitutively active EGFR	2	0.181818182	0.603022689		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
"Synthesis, Secretion, and Deacylation of Ghrelin"	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Tachykinin receptors bind tachykinins	2	0.181818182	0.404519917		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Activation of NOXA and translocation to mitochondria	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Activation of PUMA and translocation to mitochondria	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Arachidonate production from DAG	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Basigin interactions	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Branched-chain amino acid catabolism	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
CD28 dependent Vav1 pathway	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Condensation of Prometaphase Chromosomes	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Glycoprotein hormones	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Hormone ligand-binding receptors	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Lagging Strand Synthesis	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Nef and signal transduction	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Peptide hormone biosynthesis	3	0.272727273	0.467099366		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Synthesis of PC	4	0.363636364	0.504524979		1	0.090909091	0.301511345	11		Su2C	0	1	Su2C
Abacavir transmembrane transport	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Abacavir transport and metabolism	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Adenosine P1 receptors	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Alpha-defensins	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
betaKlotho-mediated ligand binding	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Binding and entry of HIV virion	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Ceramide signalling	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
CREB phosphorylation	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Defensins	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Dopamine clearance from the synaptic cleft	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Dopamine receptors	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Enzymatic degradation of dopamine by COMT	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Enzymatic degradation of Dopamine by monoamine oxidase	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Ethanol oxidation	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Folding of actin by CCT/TriC	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Heme biosynthesis	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Highly sodium permeable acetylcholine nicotinic receptors	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Histidine catabolism	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Hyaluronan uptake and degradation	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Interconversion of polyamines	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Klotho-mediated ligand binding	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Methionine salvage pathway	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Miscellaneous substrates	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
NADPH regeneration	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
NOSIP mediated eNOS trafficking	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Oligomerization of connexins into connexons	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
p75NTR negatively regulates cell cycle via SC1	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Potassium transport channels	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Processive synthesis on the C-strand of the telomere	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Proton-coupled neutral amino acid transporters	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Purine catabolism	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Pyrimidine biosynthesis	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Pyrimidine salvage reactions	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Pyrophosphate hydrolysis	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Reactions specific to the complex N-glycan synthesis pathway	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Reactions specific to the hybrid N-glycan synthesis pathway	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Removal of the Flap Intermediate from the C-strand	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Serine biosynthesis	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Synthesis of IPs in the nucleus	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Synthesis of UDP-N-acetyl-glucosamine	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Telomere Extension By Telomerase	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Transport of connexins along the secretory pathway	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
VEGF binds to VEGFR leading to receptor dimerization	1	0.090909091	0.301511345		0	0	0	11		Su2C	0	1	Su2C
Activation of BIM and translocation to mitochondria	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Acyl chain remodeling of CL	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Amine Oxidase reactions	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
Androgen biosynthesis	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Cyclin B2 mediated events	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Formation of tubulin folding intermediates by CCT/TriC	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Hypusine synthesis from eIF5A-lysine	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
IRAK1 recruits IKK complex	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
IRF3 mediated activation of type 1 IFN	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
Metabolism of serotonin	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
"Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2"	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
mRNA Decay by 5' to 3' Exoribonuclease	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
N-glycan antennae elongation in the medial/trans-Golgi	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
NrCAM interactions	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Organic cation transport	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Organic cation/anion/zwitterion transport	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Pentose phosphate pathway (hexose monophosphate shunt)	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Phenylalanine and tyrosine catabolism	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
PP2A-mediated dephosphorylation of key metabolic factors	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Recycling of eIF2:GDP	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
Sema4D mediated inhibition of cell attachment and migration	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Serotonin clearance from the synaptic cleft	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
STAT6-mediated induction of chemokines	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
Synthesis of PG	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
The retinoid cycle in cones (daylight vision)	2	0.181818182	0.603022689		0	0	0	11		Su2C	0	1	Su2C
Thyroxine biosynthesis	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Vitamin B1 (thiamin) metabolism	2	0.181818182	0.404519917		0	0	0	11		Su2C	0	1	Su2C
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	3	0.272727273	0.467099366		0	0	0	11		Su2C	0	1	Su2C
