Reactome Pathway	Sum	Avg	StdDev
MPS I - Hurler syndrome	12	0.375	0.707106781186548
Cholesterol biosynthesis	1	0.03125	0.176776695296637
Recycling of bile acids and salts	1	0.03125	0.176776695296637
Polymerase switching	1	0.03125	0.176776695296637
Aquaporin-mediated transport	3	0.09375	0.296144581080299
Activated TLR4 signalling	10	0.3125	0.535061045658012
Ficolins bind to repetitive carbohydrate structures on the target cell surface	2	0.0625	0.245934688418982
Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks	0	0	0
Anchoring fibril formation	1	0.03125	0.176776695296637
Lectin pathway of complement activation	2	0.0625	0.245934688418982
Displacement of DNA glycosylase by  APE1	0	0	0
Signaling by ERBB2	27	0.84375	0.846601364851098
Metabolism of nitric oxide	1	0.03125	0.176776695296637
Fibronectin matrix formation	0	0	0
Amplification of signal from the kinetochores	0	0	0
Resolution of Abasic Sites (AP sites)	0	0	0
FGFR1c ligand binding and activation	2	0.0625	0.245934688418982
Urea cycle	1	0.03125	0.176776695296637
Fructose catabolism	0	0	0
Platelet sensitization by LDL	1	0.03125	0.176776695296637
Termination of O-glycan biosynthesis	7	0.21875	0.420013440645154
Bicarbonate transporters	1	0.03125	0.176776695296637
Common Pathway	4	0.125	0.336010752516124
Rhesus glycoproteins mediate ammonium transport.	0	0	0
Metal ion SLC transporters	1	0.03125	0.176776695296637
Minus-strand DNA synthesis	0	0	0
Regulation of Complement cascade	3	0.09375	0.296144581080299
Intrinsic Pathway	0	0	0
Transport and synthesis of PAPS	2	0.0625	0.245934688418982
Signaling by FGFR mutants	7	0.21875	0.490843579315079
Metabolism of folate and pterines	0	0	0
PKB-mediated events	0	0	0
Phospholipase C-mediated cascade	5	0.15625	0.368902032628474
Phagosomal maturation (early endosomal stage)	4	0.125	0.421211769587116
Adenylate cyclase inhibitory pathway	2	0.0625	0.245934688418982
Axonal growth stimulation	0	0	0
Regulatory RNA pathways	2	0.0625	0.245934688418982
Notch-HLH transcription pathway	4	0.125	0.336010752516124
FBXW7 Mutants and NOTCH1 in Cancer	11	0.34375	0.60157722803504
Ca-dependent events	2	0.0625	0.245934688418982
Cell-extracellular matrix interactions	1	0.03125	0.176776695296637
Phenylalanine and tyrosine catabolism	0	0	0
Platelet Aggregation (Plug Formation)	4	0.125	0.336010752516124
Activation of Matrix Metalloproteinases	6	0.1875	0.470929074859885
SLC-mediated transmembrane transport	17	0.53125	0.761339015665291
GPCR ligand binding	25	0.78125	0.906406410306746
Signaling by Interleukins	9	0.28125	0.456803409399174
G1/S Transition	9	0.28125	0.581120996783997
Clearance of Nuclear Envelope Membranes from Chromatin	0	0	0
mTOR signalling	0	0	0
Synthesis of PIPs at the Golgi membrane	3	0.09375	0.296144581080299
Linoleic acid (LA) metabolism	0	0	0
mRNA Editing	2	0.0625	0.353553390593274
Sodium/Proton exchangers	1	0.03125	0.176776695296637
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	11	0.34375	0.60157722803504
Activation of BH3-only proteins	7	0.21875	0.490843579315079
Activation of PUMA and translocation to mitochondria	4	0.125	0.336010752516124
RNA Polymerase II HIV Promoter Escape	5	0.15625	0.368902032628474
Voltage gated Potassium channels	7	0.21875	0.490843579315079
p38MAPK events	1	0.03125	0.176776695296637
Activation of CaMK IV	0	0	0
Activation of ATR in response to replication stress	1	0.03125	0.176776695296637
Toll Like Receptor 10 (TLR10) Cascade	8	0.25	0.508000508000762
Reversal of Alkylation Damage By DNA Dioxygenases	0	0	0
Inositol transporters	0	0	0
Phosphorylation of Emi1	0	0	0
Metabolism of mRNA	13	0.40625	0.665237042399659
Dermatan sulfate biosynthesis	0	0	0
Heparan sulfate/heparin (HS-GAG) metabolism	5	0.15625	0.368902032628474
CREB phosphorylation through the activation of CaMKK	0	0	0
Interferon Signaling	12	0.375	0.65991201759609
MEK activation	0	0	0
FGFR1c and Klotho ligand binding and activation	1	0.03125	0.176776695296637
MPS II - Hunter syndrome	12	0.375	0.707106781186548
mRNA Splicing - Minor Pathway	5	0.15625	0.368902032628474
Stimulation of the cell death response by PAK-2p34	2	0.0625	0.245934688418982
Crosslinking of collagen fibrils	0	0	0
Integration of viral DNA into host genomic DNA	0	0	0
Regulation of Insulin Secretion by Acetylcholine	1	0.03125	0.176776695296637
Scavenging by Class F Receptors	0	0	0
Integrin alphaIIb beta3 signaling	4	0.125	0.336010752516124
Norepinephrine Neurotransmitter Release Cycle	2	0.0625	0.245934688418982
Utilization of Ketone Bodies	0	0	0
Metabolism of amino acids and derivatives	15	0.46875	0.71771928199118
Export of Viral Ribonucleoproteins from Nucleus	2	0.0625	0.245934688418982
Generic Transcription Pathway	36	1.125	1.07012209131602
Pre-NOTCH Processing in Golgi	5	0.15625	0.368902032628474
"Transfer of SUMO from E1 to E2 (UBE2I, UBC9)"	0	0	0
Activation of GABAB receptors	2	0.0625	0.245934688418982
Synthesis and interconversion of nucleotide di- and triphosphates	1	0.03125	0.176776695296637
Influenza Viral RNA Transcription and Replication	5	0.15625	0.447889315243931
mitochondrial fatty acid beta-oxidation of saturated fatty acids	1	0.03125	0.176776695296637
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1	0.03125	0.176776695296637
Terminal pathway of complement	0	0	0
Global Genomic NER (GG-NER)	1	0.03125	0.176776695296637
HIV Transcription Initiation	5	0.15625	0.368902032628474
Scavenging by Class H Receptors	0	0	0
Mitotic G1-G1/S phases	12	0.375	0.609071212532232
Platelet homeostasis	5	0.15625	0.368902032628474
FCERI mediated NF-kB activation	4	0.125	0.336010752516124
Pyruvate metabolism and Citric Acid (TCA) cycle	1	0.03125	0.176776695296637
Formation of RNA Pol II elongation complex	5	0.15625	0.368902032628474
Serotonin receptors	2	0.0625	0.245934688418982
Prolactin receptor signaling	0	0	0
Cleavage of Growing Transcript in the Termination Region	4	0.125	0.421211769587116
PPARA Activates Gene Expression	9	0.28125	0.522671487524399
EGFR downregulation	1	0.03125	0.176776695296637
Formation of the Early Elongation Complex	4	0.125	0.336010752516124
CTLA4 inhibitory signaling	1	0.03125	0.176776695296637
Destabilization of mRNA by AUF1 (hnRNP D0)	4	0.125	0.336010752516124
Fertilization	1	0.03125	0.176776695296637
SMAD4 MH2 Domain Mutants in Cancer	10	0.3125	0.535061045658012
Degradation of cysteine and homocysteine	2	0.0625	0.245934688418982
Regulation of the Fanconi anemia pathway	3	0.09375	0.296144581080299
Mitochondrial transcription initiation	0	0	0
Pre-NOTCH Transcription and Translation	9	0.28125	0.522671487524399
Defective HLCS causes multiple carboxylase deficiency	6	0.1875	0.470929074859885
Interaction With Cumulus Cells	0	0	0
Multifunctional anion exchangers	0	0	0
Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	9	0.28125	0.522671487524399
Neurophilin interactions with VEGF and VEGFR	2	0.0625	0.245934688418982
Botulinum neurotoxicity	1	0.03125	0.176776695296637
Death Receptor  Signalling	1	0.03125	0.176776695296637
Defective BTD causes biotidinase deficiency	6	0.1875	0.470929074859885
Loss of Function of TGFBR2 in Cancer	10	0.3125	0.535061045658012
Apoptotic factor-mediated response	2	0.0625	0.245934688418982
Growth hormone receptor signaling	2	0.0625	0.245934688418982
Abacavir transport and metabolism	1	0.03125	0.176776695296637
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	1	0.03125	0.176776695296637
Downstream signal transduction	26	0.8125	0.859012936926128
Zinc influx into cells by the SLC39 gene family	1	0.03125	0.176776695296637
Ion transport by P-type ATPases	4	0.125	0.336010752516124
Synthesis of dolichyl-phosphate mannose	0	0	0
FGFR4 ligand binding and activation	0	0	0
"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	2	0.0625	0.245934688418982
ERK activation	0	0	0
ABH3 mediated Reversal of Alkylation Damage	0	0	0
GPVI-mediated activation cascade	8	0.25	0.672021505032247
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	0	0	0
Toll-Like Receptors Cascades	13	0.40625	0.5599179087296
SHC activation	0	0	0
PIP3 activates AKT signaling	23	0.71875	0.771858878961859
GRB2 events in EGFR signaling	1	0.03125	0.176776695296637
Regulation of pyruvate dehydrogenase (PDH) complex	1	0.03125	0.176776695296637
Regulation of IFNG signaling	1	0.03125	0.176776695296637
The fatty acid cycling model	0	0	0
Signaling by constitutively active EGFR	1	0.03125	0.176776695296637
Alternative complement activation	1	0.03125	0.176776695296637
Double-Strand Break Repair	3	0.09375	0.296144581080299
mTORC1-mediated signalling	0	0	0
NCAM signaling for neurite out-growth	8	0.25	0.508000508000762
Inhibition of Insulin Secretion by Adrenaline/Noradrenaline	1	0.03125	0.176776695296637
Glycoprotein hormones	1	0.03125	0.176776695296637
Heme biosynthesis	0	0	0
Early Phase of HIV Life Cycle	0	0	0
RORA Activates Circadian Expression	4	0.125	0.336010752516124
Activation of DNA fragmentation factor	1	0.03125	0.176776695296637
Gap-filling DNA repair synthesis and ligation in TC-NER	1	0.03125	0.176776695296637
CYP2E1 reactions	1	0.03125	0.176776695296637
Pyrophosphate hydrolysis	0	0	0
Ethanol oxidation	0	0	0
Nuclear import of Rev protein	2	0.0625	0.245934688418982
ER to Golgi Transport	0	0	0
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	2	0.0625	0.245934688418982
Beta defensins	1	0.03125	0.176776695296637
ADP signalling through P2Y purinoceptor 1	0	0	0
Toll Like Receptor 7/8 (TLR7/8) Cascade	9	0.28125	0.522671487524399
Acyl chain remodelling of PG	0	0	0
Insulin receptor recycling	0	0	0
Recycling of eIF2:GDP	0	0	0
Collagen formation	11	0.34375	0.482558704434814
Retrograde neurotrophin signalling	0	0	0
Formation of annular gap junctions	0	0	0
MPS IIIB - Sanfilippo syndrome B	12	0.375	0.707106781186548
Activation of BMF and translocation to mitochondria	1	0.03125	0.176776695296637
Spry regulation of FGF signaling	1	0.03125	0.176776695296637
SMAD2/3 MH2 Domain Mutants in Cancer	10	0.3125	0.535061045658012
Keratan sulfate/keratin metabolism	3	0.09375	0.39015092199748
TGF-beta receptor signaling activates SMADs	5	0.15625	0.447889315243931
Negative regulators of RIG-I/MDA5 signaling	0	0	0
"Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2"	0	0	0
Autodegradation of the E3 ubiquitin ligase COP1	8	0.25	0.508000508000762
Conjugation of salicylate with glycine	0	0	0
FGFR3 ligand binding and activation	1	0.03125	0.176776695296637
cGMP effects	1	0.03125	0.176776695296637
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	4	0.125	0.336010752516124
Synthesis of PC	0	0	0
Nuclear signaling by ERBB4	7	0.21875	0.490843579315079
Costimulation by the CD28 family	7	0.21875	0.608243107169621
Signal transduction by L1	7	0.21875	0.608243107169621
Toll Like Receptor TLR1:TLR2 Cascade	9	0.28125	0.522671487524399
Mitotic Spindle Checkpoint	1	0.03125	0.176776695296637
3' -UTR-mediated translational regulation	2	0.0625	0.245934688418982
Folding of actin by CCT/TriC	2	0.0625	0.245934688418982
Toll Like Receptor 2 (TLR2) Cascade	9	0.28125	0.522671487524399
Regulation of APC/C activators between G1/S and early anaphase	5	0.15625	0.447889315243931
GP1b-IX-V activation signalling	0	0	0
Signaling by NOTCH4	1	0.03125	0.176776695296637
APC/C-mediated degradation of cell cycle proteins	6	0.1875	0.470929074859885
Phosphorylation of CD3 and TCR zeta chains	1	0.03125	0.176776695296637
t(4;14) translocations of FGFR3	0	0	0
Base Excision Repair	0	0	0
Amino Acid conjugation	0	0	0
Conjugation of benzoate with glycine	0	0	0
Abnormal metabolism in phenylketonuria	0	0	0
Meiotic Recombination	3	0.09375	0.296144581080299
Influenza Life Cycle	8	0.25	0.508000508000762
p53-Independent DNA Damage Response	5	0.15625	0.368902032628474
Postsynaptic nicotinic acetylcholine receptors	2	0.0625	0.245934688418982
Vitamin C (ascorbate) metabolism	1	0.03125	0.176776695296637
Regulation of beta-cell development	3	0.09375	0.296144581080299
SHC-related events	1	0.03125	0.176776695296637
Recruitment of mitotic centrosome proteins and complexes	7	0.21875	0.490843579315079
Host Interactions with Influenza Factors	0	0	0
"Biosynthesis of A2E, implicated in retinal degradation"	0	0	0
Regulation of KIT signaling	8	0.25	0.43994134506406
N-glycan trimming and elongation in the cis-Golgi	0	0	0
RNA Polymerase II Promoter Escape	5	0.15625	0.368902032628474
Citric acid cycle (TCA cycle)	0	0	0
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	0	0	0
Digestion of dietary lipid	0	0	0
RNA Polymerase I Promoter Clearance	4	0.125	0.336010752516124
Fc epsilon receptor (FCERI) signaling	34	1.0625	0.948258165473463
Nonhomologous End-joining (NHEJ)	1	0.03125	0.176776695296637
Apoptosis induced DNA fragmentation	1	0.03125	0.176776695296637
Orexin and neuropeptides FF and QRFP bind to their respective receptors	0	0	0
Regulation of Apoptosis	8	0.25	0.508000508000762
mRNA Capping	3	0.09375	0.296144581080299
Endosomal Sorting Complex Required For Transport (ESCRT)	1	0.03125	0.176776695296637
Post-translational protein modification	28	0.875	0.94185814971977
Hydroxycarboxylic acid-binding receptors	0	0	0
NRIF signals cell death from the nucleus	0	0	0
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	1	0.03125	0.176776695296637
Collagen biosynthesis and modifying enzymes	9	0.28125	0.456803409399174
Cross-presentation of soluble exogenous antigens (endosomes)	4	0.125	0.336010752516124
Regulation of gene expression in early pancreatic precursor cells	0	0	0
Retinoid cycle disease events	1	0.03125	0.176776695296637
COPII (Coat Protein 2) Mediated Vesicle Transport	0	0	0
Constitutive Signaling by NOTCH1 PEST Domain Mutants	8	0.25	0.508000508000762
Regulation of Water Balance by Renal Aquaporins	3	0.09375	0.296144581080299
A tetrasaccharide linker sequence is required for GAG synthesis	3	0.09375	0.296144581080299
p53-Dependent G1/S DNA damage checkpoint	11	0.34375	0.60157722803504
Platelet calcium homeostasis	2	0.0625	0.245934688418982
Phase 1 - Functionalization of compounds	1	0.03125	0.176776695296637
RAF phosphorylates MEK	0	0	0
Pentose phosphate pathway (hexose monophosphate shunt)	1	0.03125	0.176776695296637
IRS activation	1	0.03125	0.176776695296637
Cytokine Signaling in Immune system	21	0.65625	0.901946819117474
PI3K Cascade	5	0.15625	0.368902032628474
Assembly of the pre-replicative complex	5	0.15625	0.447889315243931
Trafficking of dietary sterols	0	0	0
ER-Phagosome pathway	5	0.15625	0.368902032628474
Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor	3	0.09375	0.296144581080299
"Incretin Synthesis, Secretion, and Inactivation"	2	0.0625	0.245934688418982
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	5	0.15625	0.368902032628474
Scavenging by Class A Receptors	3	0.09375	0.296144581080299
SHC-mediated signalling	1	0.03125	0.176776695296637
Activation of G protein gated Potassium channels	0	0	0
Dual incision reaction in GG-NER	1	0.03125	0.176776695296637
Activation of NF-kappaB in B Cells	7	0.21875	0.420013440645154
PI3K/AKT activation	23	0.71875	0.771858878961859
Adherens junctions interactions	6	0.1875	0.470929074859885
Dopamine receptors	0	0	0
CaM pathway	2	0.0625	0.245934688418982
Transcriptional Regulation of White Adipocyte Differentiation	7	0.21875	0.490843579315079
Thyroxine biosynthesis	1	0.03125	0.176776695296637
Recognition and association of DNA glycosylase with site containing an affected purine	0	0	0
