Reactome Pathway	Sum	Avg	StdDev
Oligomerization of connexins into connexons	3	0.06	0.239897937482095
Interleukin-7 signaling	15	0.3	0.646813224152673
NOD1/2 Signaling Pathway	45	0.9	1.35902125646003
Interleukin-2 signaling	52	1.04	1.24474405204526
STAT6-mediated induction of chemokines	3	0.06	0.313635691430002
G-protein activation	20	0.4	0.808122035641769
Signaling by Wnt	350	7	8.76216355725466
ATF6-alpha activates chaperones	12	0.24	0.591090310445063
Condensation of Prophase Chromosomes	52	1.04	1.35465938184339
Release of apoptotic factors from the mitochondria	2	0.04	0.197948663722157
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	12	0.24	0.517450579322138
Catecholamine biosynthesis	4	0.08	0.27404751561787
ERK2 activation	1	0.02	0.14142135623731
Initial triggering of complement	21	0.42	0.810391691639019
Influenza Virus Induced Apoptosis	1	0.02	0.14142135623731
degradation of DVL	68	1.36	2.19238012494296
Interleukin-6 signaling	22	0.44	0.674914960629584
Cytosolic iron-sulfur cluster assembly	8	0.16	0.548095031235739
Uptake and function of anthrax toxins	4	0.08	0.340467865366085
Estrogen biosynthesis	0	0	0
Removal of the Flap Intermediate	17	0.34	0.93917028079392
Deadenylation-dependent mRNA decay	64	1.28	1.73840179944872
"Lipid digestion, mobilization, and transport"	69	1.38	2.34642585344483
Sema3A PAK dependent Axon repulsion	41	0.82	1.17264744949892
Transport of the SLBP independent Mature mRNA	49	0.98	1.37751625050602
A third proteolytic cleavage releases NICD	7	0.14	0.350509832753866
Signaling by PDGF	271	5.42	5.63549248160301
Transport of Mature mRNAs Derived from Intronless Transcripts	67	1.34	2.01636164556716
Scavenging by Class B Receptors	13	0.26	0.486973158544552
Alpha-oxidation of phytanate	0	0	0
Signaling by Leptin	30	0.6	1.08796758655199
Synthesis of PS	1	0.02	0.14142135623731
Mitotic Metaphase/Anaphase Transition	1	0.02	0.14142135623731
Signaling by TGF-beta Receptor Complex	73	1.46	1.99192246386269
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	111	2.22	2.97808320767515
Post-Elongation Processing of the Transcript	57	1.14	1.84069640769632
Breakdown of the nuclear lamina	6	0.12	0.328260722659316
Membrane Trafficking	275	5.5	7.1919739846525
Binding and entry of HIV virion	2	0.04	0.197948663722157
Processive synthesis on the lagging strand	17	0.34	0.93917028079392
p53-Independent G1/S DNA damage checkpoint	66	1.32	2.15179090100145
HDACs deacetylate histones	66	1.32	2.1800580407926
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	6	0.12	0.328260722659316
S6K1 signalling	7	0.14	0.350509832753866
Signaling by FGFR1 fusion mutants	29	0.58	0.905538513813742
Advanced glycosylation endproduct receptor signaling	12	0.24	0.517450579322138
Glycolysis	27	0.54	0.952119011597236
Oxidative Stress Induced Senescence	105	2.1	2.50916686717861
Interactions of Vpr with host cellular proteins	49	0.98	1.31692282017046
Coenzyme A biosynthesis	23	0.46	0.908238932871562
Transport of Ribonucleoproteins into the Host Nucleus	43	0.86	1.16075274661554
regulation of FZD by ubiquitination	28	0.56	0.81215259448868
APC/C:Cdc20 mediated degradation of mitotic proteins	103	2.06	2.77312172138777
IRF3-mediated induction of type I IFN	23	0.46	0.930437685024788
Toxicity of botulinum toxin type G (BoNT/G)	5	0.1	0.303045763365663
Synthesis of CL	1	0.02	0.14142135623731
Nicotinate metabolism	23	0.46	0.734291272908366
TRKA activation by NGF	1	0.02	0.14142135623731
TWIK related potassium channel (TREK)	4	0.08	0.27404751561787
Acyl chain remodelling of PC	15	0.3	0.543983793275993
Clathrin derived vesicle budding	80	1.6	2.22233559801486
Triglyceride Biosynthesis	47	0.94	1.20220885142681
Pre-NOTCH Expression and Processing	73	1.46	1.77522634371749
CDT1 association with the CDC6:ORC:origin complex	71	1.42	2.42512360299345
p130Cas linkage to MAPK signaling for integrins	22	0.44	0.704504457482169
Processing of Intronless Pre-mRNAs	27	0.54	0.885483840989242
Thromboxane signalling through TP receptor	12	0.24	0.517450579322138
Regulation of gene expression by Hypoxia-inducible Factor	14	0.28	0.607436903584837
HuR stabilizes mRNA	6	0.12	0.385449644663773
Signal amplification	15	0.3	0.707106781186548
DNA Replication Pre-Initiation	93	1.86	3.23255127648457
Regulation of ornithine decarboxylase (ODC)	70	1.4	2.22233559801486
XBP1(S) activates chaperone genes	54	1.08	1.75940620781036
"Activation, myristolyation of BID and translocation to mitochondria"	3	0.06	0.239897937482095
Localization of the PINCH-ILK-PARVIN complex to focal adhesions	2	0.04	0.197948663722157
Lysosome Vesicle Biogenesis	36	0.72	1.01096034359738
Sodium-coupled phosphate cotransporters	5	0.1	0.303045763365663
betaKlotho-mediated ligand binding	8	0.16	0.42185208743524
SUMOylation	7	0.14	0.49528388066742
Toxicity of botulinum toxin type E (BoNT/E)	4	0.08	0.27404751561787
Lysine catabolism	15	0.3	0.788954358370519
Fcgamma receptor (FCGR) dependent phagocytosis	137	2.74	3.23128836376389
Glycerophospholipid biosynthesis	94	1.88	2.35293997599009
Homologous recombination repair of replication-independent double-strand breaks	26	0.52	1.05443669069977
Signaling by FGFR4 mutants	2	0.04	0.197948663722157
Downregulation of ERBB4 signaling	6	0.12	0.385449644663773
ERKs are inactivated	17	0.34	0.557325977232319
Apoptotic execution  phase	76	1.52	2.34076561694446
Cytosolic sulfonation of small molecules	23	0.46	0.705951377177476
Chromatin modifying enzymes	250	5	5.90744946518152
Formyl peptide receptors bind formyl peptides and many other ligands	10	0.2	0.534522483824849
Insulin receptor signalling cascade	144	2.88	3.3784430661209
RNA Polymerase II Transcription Initiation And Promoter Clearance	58	1.16	1.71856608477972
Transcriptional  activation of  cell cycle inhibitor p21	18	0.36	0.484873221385061
NFG and proNGF binds to p75NTR	1	0.02	0.14142135623731
Class II GLUTs	4	0.08	0.340467865366085
RNA Polymerase III Transcription Initiation	61	1.22	1.71773462586569
Amino acid synthesis and interconversion (transamination)	28	0.56	0.884330716602409
Metabolism of proteins	799	15.98	17.0826203601013
Interaction With The Zona Pellucida	6	0.12	0.328260722659316
WNT ligand secretion is abrogated by the PORCN inhibitor LGK974	22	0.44	0.951046684405328
MPS IV - Morquio syndrome A	177	3.54	4.28195072844333
MAPK targets/ Nuclear events mediated by MAP kinases	28	0.56	0.732900305050323
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	66	1.32	1.97370469019092
TNF signaling	5	0.1	0.303045763365663
Assembly of the ORC complex at the origin of replication	13	0.26	0.599659767480439
Free fatty acids regulate insulin secretion	5	0.1	0.364215679542342
ADP signalling through P2Y purinoceptor 12	11	0.22	0.648074069840786
Extrinsic Pathway for Apoptosis	41	0.82	0.800255061380624
Metabolism	1755	35.1	40.4980473200214
Regulation of gap junction activity	0	0	0
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	4	0.08	0.27404751561787
Ras activation uopn Ca2+ infux through NMDA receptor	24	0.48	0.735124590301063
misspliced GSK3beta mutants stabilize beta-catenin	101	2.02	2.78838699624287
Toxicity of botulinum toxin type D (BoNT/D)	6	0.12	0.328260722659316
Dopamine Neurotransmitter Release Cycle	36	0.72	1.10730413571863
Nef and signal transduction	14	0.28	0.536047515408392
PLCG1 events in ERBB2 signaling	42	0.84	1.29929337153167
Apoptotic cleavage of cell adhesion  proteins	15	0.3	0.863074712399612
Synthesis of 12-eicosatetraenoic acid derivatives	9	0.18	0.719693812446286
Signaling by NODAL	20	0.4	0.63887656499994
Sulfide oxidation to sulfate	5	0.1	0.462910049886276
Inhibition of Host mRNA Processing and RNA Silencing	0	0	0
Signalling to RAS	29	0.58	0.835195198985341
Purine metabolism	35	0.7	1.16496474502144
Signaling by BMP	15	0.3	0.580288457473997
Peptide hormone metabolism	91	1.82	2.12554914873156
G alpha (s) signalling events	118	2.36	2.52141845404688
Activation of BIM and translocation to mitochondria	8	0.16	0.370328039909021
TRAF6 mediated NF-kB activation	29	0.58	0.970798114744686
"Unblocking of NMDA receptor, glutamate binding and activation"	25	0.5	0.886405260427918
PI3K/AKT Signaling in Cancer	166	3.32	3.57679596674945
Transcription from mitochondrial promoters	4	0.08	0.27404751561787
Purine salvage	10	0.2	0.404061017820884
Release of eIF4E	12	0.24	0.656521445318632
Dimerization of procaspase-8	39	0.78	0.763718080264209
Regulation by c-FLIP	39	0.78	0.763718080264209
DAG and IP3 signaling	38	0.76	1.17038280847223
Defects in vitamin and cofactor metabolism	129	2.58	3.429107101011
Potassium transport channels	2	0.04	0.197948663722157
eNOS activation and regulation	18	0.36	0.802038219863897
Regulation of AMPK activity via LKB1	26	0.52	0.931095470674304
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	5	0.1	0.364215679542342
Transcription-coupled NER (TC-NER)	56	1.12	2.2282050980966
Signalling by NGF	397	7.94	7.87247854029129
TGFBR2 MSI Frameshift Mutants in Cancer	73	1.46	1.99192246386269
Signaling by EGFR	255	5.1	5.11201066716654
Type II Na+/Pi cotransporters	3	0.06	0.239897937482095
Transmembrane transport of small molecules	680	13.6	14.5279463273305
Synthesis of substrates in N-glycan biosythesis	52	1.04	1.48406501865378
Detoxification of Reactive Oxygen Species	26	0.52	1.19931953496088
Enzymatic degradation of Dopamine by monoamine oxidase	5	0.1	0.364215679542342
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	46	0.92	1.19249352884053
Synthesis of 15-eicosatetraenoic acid derivatives	7	0.14	0.49528388066742
Astrocytic Glutamate-Glutamine Uptake And Metabolism	4	0.08	0.27404751561787
APC truncation mutants are not K63 polyubiquitinated	101	2.02	2.78838699624287
Trafficking of GluR2-containing AMPA receptors	11	0.22	0.464670170494017
Response of Mtb to phagocytosis	1	0.02	0.14142135623731
Nuclear Envelope Breakdown	78	1.56	2.24208357906439
Molybdenum cofactor biosynthesis	5	0.1	0.364215679542342
Translesion synthesis by DNA polymerases bypassing lesion on DNA template	4	0.08	0.395897327444315
Activated NOTCH1 Transmits Signal to the Nucleus	41	0.82	1.18992368131193
Ubiquitin-dependent degradation of Cyclin D1	69	1.38	2.16549942394406
AMPK inhibits chREBP transcriptional activation activity	14	0.28	0.757008074256673
Vitamin D (calciferol) metabolism	10	0.2	0.451753951452626
RNA Polymerase I Promoter Opening	22	0.44	0.972268544409917
Prostanoid ligand receptors	7	0.14	0.452205479752698
Inhibition of Interferon Synthesis	0	0	0
Ionotropic activity of Kainate Receptors	16	0.32	0.551065757771026
Meiosis	130	2.6	3.71977616179758
Gap junction assembly	27	0.54	1.41724078002696
Opioid Signalling	89	1.78	2.03329430095245
Integration of energy metabolism	123	2.46	3.24011841557354
Synthesis of PE	21	0.42	0.758354825142114
MPS I - Hurler syndrome	177	3.54	4.28195072844333
Cholesterol biosynthesis	37	0.74	1.25860304808667
Recycling of bile acids and salts	20	0.4	0.67005939426049
Polymerase switching	24	0.48	1.09246024538887
Aquaporin-mediated transport	49	0.98	1.47758766444582
Activated TLR4 signalling	118	2.36	2.67840951891611
Ficolins bind to repetitive carbohydrate structures on the target cell surface	10	0.2	0.451753951452626
Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks	4	0.08	0.27404751561787
Anchoring fibril formation	13	0.26	0.486973158544552
Lectin pathway of complement activation	12	0.24	0.555492059863531
Displacement of DNA glycosylase by  APE1	7	0.14	0.452205479752698
Loss of proteins required for interphase microtubule organizationÂ from the centrosome	69	1.38	1.90477380948661
Signaling by ERBB2	235	4.7	5.11600130842
binding of TCF/LEF:CTNNB1 to target gene promoters	13	0.26	0.527218345349884
Metabolism of nitric oxide	18	0.36	0.802038219863897
Fibronectin matrix formation	0	0	0
Amplification of signal from the kinetochores	3	0.06	0.239897937482095
Resolution of Abasic Sites (AP sites)	22	0.44	1.16338703265728
FGFR1c ligand binding and activation	20	0.4	0.832993127835043
Urea cycle	11	0.22	0.545482374058194
Fructose catabolism	0	0	0
Platelet sensitization by LDL	16	0.32	0.586932530976404
ATF4 activates genes	34	0.68	1.13281300580566
Termination of O-glycan biosynthesis	108	2.16	4.07260634593863
Bicarbonate transporters	9	0.18	0.522552604519197
Common Pathway	17	0.34	0.688387645894672
Rhesus glycoproteins mediate ammonium transport.	5	0.1	0.364215679542342
Metal ion SLC transporters	38	0.76	1.09842187352806
Depolymerisation of the Nuclear Lamina	25	0.5	0.788954358370519
Minus-strand DNA synthesis	1	0.02	0.14142135623731
Regulation of Complement cascade	27	0.54	0.97331749125119
Intrinsic Pathway	33	0.66	0.960654538768824
T41 mutants of beta-catenin aren't phosphorylated	101	2.02	2.78838699624287
Transport and synthesis of PAPS	16	0.32	0.586932530976404
Signaling by FGFR mutants	68	1.36	1.71142618649965
Metabolism of folate and pterines	15	0.3	0.839095723176481
Meiotic recombination	61	1.22	1.91971511491913
PKB-mediated events	45	0.9	1.66904592079256
Phagosomal maturation (early endosomal stage)	57	1.14	1.5254306852526
Phospholipase C-mediated cascade	76	1.52	2.2518926280272
Adenylate cyclase inhibitory pathway	17	0.34	0.717421687399412
Axonal growth stimulation	3	0.06	0.313635691430002
Notch-HLH transcription pathway	14	0.28	0.640153042925945
Regulatory RNA pathways	37	0.74	1.08439769796276
TCF7L2 mutants don't bind CTBP	101	2.02	2.78838699624287
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"	12	0.24	0.624663174545013
Cell-extracellular matrix interactions	25	0.5	0.788954358370519
Ca-dependent events	33	0.66	1.04217198627654
FBXW7 Mutants and NOTCH1 in Cancer	108	2.16	2.49374728274621
Phenylalanine and tyrosine catabolism	9	0.18	0.388087934491604
Platelet Aggregation (Plug Formation)	49	0.98	1.31692282017046
Activation of Matrix Metalloproteinases	33	0.66	0.847806292854731
SLC-mediated transmembrane transport	283	5.66	7.52847655131325
GPCR ligand binding	451	9.02	9.68796855351407
Signaling by Interleukins	140	2.8	3.11677488989592
G1/S Transition	144	2.88	4.29826733007805
Clearance of Nuclear Envelope Membranes from Chromatin	12	0.24	0.555492059863531
Organelle biogenesis and maintenance	77	1.54	1.80938595966157
mTOR signalling	44	0.88	1.66157043983414
Synthesis of PIPs at the Golgi membrane	42	0.84	0.765586343255672
Linoleic acid (LA) metabolism	7	0.14	0.350509832753866
Ca2+ pathway	75	1.5	2.38404560975409
mRNA Editing	34	0.68	0.652780551931192
Sodium/Proton exchangers	13	0.26	0.564602081296272
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	108	2.16	2.49374728274621
Activation of BH3-only proteins	47	0.94	1.01840210974981
Activation of PUMA and translocation to mitochondria	22	0.44	0.540596797954986
Processing and activation of SUMO	7	0.14	0.49528388066742
RNA Polymerase II HIV Promoter Escape	58	1.16	1.71856608477972
Voltage gated Potassium channels	68	1.36	1.95625631641414
p38MAPK events	10	0.2	0.606091526731326
Activation of CaMK IV	1	0.02	0.14142135623731
Activation of ATR in response to replication stress	51	1.02	2.20842542485429
Toll Like Receptor 10 (TLR10) Cascade	84	1.68	2.03479929311598
Reversal of Alkylation Damage By DNA Dioxygenases	2	0.04	0.197948663722157
Inositol transporters	4	0.08	0.444467119602973
VEGFA-VEGFR2 Pathway	155	3.1	3.60979393385522
Hedgehog ligand biogenesis	82	1.64	2.81946586343975
Phosphorylation of Emi1	8	0.16	0.370328039909021
Metabolism of mRNA	233	4.66	6.05960192671136
Dermatan sulfate biosynthesis	15	0.3	0.580288457473997
Heparan sulfate/heparin (HS-GAG) metabolism	77	1.54	2.29649244523478
CREB phosphorylation through the activation of CaMKK	3	0.06	0.239897937482095
Interferon Signaling	186	3.72	3.68139281539263
MEK activation	6	0.12	0.385449644663773
FGFR1c and Klotho ligand binding and activation	3	0.06	0.239897937482095
MPS II - Hunter syndrome	177	3.54	4.28195072844333
S33 mutants of beta-catenin aren't phosphorylated	101	2.02	2.78838699624287
mRNA Splicing - Minor Pathway	62	1.24	1.86875490580204
Stimulation of the cell death response by PAK-2p34	3	0.06	0.239897937482095
Crosslinking of collagen fibrils	5	0.1	0.364215679542342
Integration of viral DNA into host genomic DNA	5	0.1	0.364215679542342
Scavenging by Class F Receptors	3	0.06	0.239897937482095
Integrin alphaIIb beta3 signaling	37	0.74	1.12140582324516
Norepinephrine Neurotransmitter Release Cycle	35	0.7	0.97415583549899
disassembly of the destruction complex and recruitment of AXIN to the membrane	46	0.92	1.29109983173657
Utilization of Ketone Bodies	4	0.08	0.27404751561787
Metabolism of amino acids and derivatives	230	4.6	6.50902042851115
Export of Viral Ribonucleoproteins from Nucleus	43	0.86	1.16075274661554
Generic Transcription Pathway	513	10.26	14.5206538335952
Pre-NOTCH Processing in Golgi	17	0.34	0.772221814385119
Activation of GABAB receptors	27	0.54	0.97331749125119
Synthesis and interconversion of nucleotide di- and triphosphates	22	0.44	1.03332236114429
Influenza Viral RNA Transcription and Replication	94	1.88	2.58441166873031
mitochondrial fatty acid beta-oxidation of saturated fatty acids	7	0.14	0.350509832753866
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	58	1.16	1.81107702762748
Terminal pathway of complement	9	0.18	0.437525509460387
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	13	0.26	0.527218345349884
Global Genomic NER (GG-NER)	42	0.84	1.83347556652965
HIV Transcription Initiation	58	1.16	1.71856608477972
Scavenging by Class H Receptors	17	0.34	0.592814112035612
Mitotic G1-G1/S phases	172	3.44	5.11564227818632
Platelet homeostasis	107	2.14	2.56355938778369
FCERI mediated NF-kB activation	32	0.64	1.06445348629698
Pyruvate metabolism and Citric Acid (TCA) cycle	40	0.8	1.10656667034498
Formation of RNA Pol II elongation complex	47	0.94	1.40567363472
Serotonin receptors	15	0.3	0.614451804788759
Prolactin receptor signaling	18	0.36	0.827092275778864
Cleavage of Growing Transcript in the Termination Region	57	1.14	1.84069640769632
EGFR downregulation	32	0.64	0.776175868983207
Formation of the Early Elongation Complex	40	0.8	1.37023757808935
CTLA4 inhibitory signaling	15	0.3	0.580288457473997
Fertilization	41	0.82	1.25665574978567
SMAD4 MH2 Domain Mutants in Cancer	73	1.46	1.99192246386269
Degradation of cysteine and homocysteine	6	0.12	0.47979587496419
Regulation of the Fanconi anemia pathway	14	0.28	0.607436903584837
Mitochondrial transcription initiation	4	0.08	0.27404751561787
Release of Hh-Np from the secreting cell	12	0.24	0.686903730295503
Pre-NOTCH Transcription and Translation	57	1.14	1.3998542198153
Defective HLCS causes multiple carboxylase deficiency	129	2.58	3.429107101011
Interaction With Cumulus Cells	1	0.02	0.14142135623731
Mitochondrial iron-sulfur cluster biogenesis	9	0.18	0.481917936955229
Multifunctional anion exchangers	9	0.18	0.560247758603645
Neurophilin interactions with VEGF and VEGFR	6	0.12	0.385449644663773
Death Receptor  Signalling	41	0.82	0.800255061380624
Defective BTD causes biotidinase deficiency	129	2.58	3.429107101011
Loss of Function of TGFBR2 in Cancer	73	1.46	1.99192246386269
Apoptotic factor-mediated response	3	0.06	0.239897937482095
Growth hormone receptor signaling	30	0.6	1.10656667034498
Abacavir transport and metabolism	6	0.12	0.328260722659316
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	13	0.26	0.599659767480439
Downstream signal transduction	233	4.66	4.91814632410486
Zinc influx into cells by the SLC39 gene family	14	0.28	0.536047515408392
Ion transport by P-type ATPases	66	1.32	1.71951583123784
Nonsense-Mediated Decay (NMD)	108	2.16	2.79474725957428
mRNA decay by 5' to 3' exoribonuclease	13	0.26	0.599659767480439
Synthesis of dolichyl-phosphate mannose	5	0.1	0.303045763365663
FGFR4 ligand binding and activation	24	0.48	0.994679724887384
"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	7	0.14	0.350509832753866
ERK activation	5	0.1	0.303045763365663
ABH3 mediated Reversal of Alkylation Damage	1	0.02	0.14142135623731
GPVI-mediated activation cascade	42	0.84	1.01739964655799
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)	2	0.04	0.197948663722157
Toll-Like Receptors Cascades	159	3.18	3.70708092433816
SHC activation	7	0.14	0.350509832753866
PIP3 activates AKT signaling	166	3.32	3.57679596674945
GRB2 events in EGFR signaling	15	0.3	0.543983793275993
Regulation of pyruvate dehydrogenase (PDH) complex	13	0.26	0.599659767480439
Epigenetic regulation of gene expression	105	2.1	2.78662988616159
Regulation of IFNG signaling	9	0.18	0.388087934491604
The fatty acid cycling model	1	0.02	0.14142135623731
Immune System	1328	26.56	30.8135671152716
Signaling by constitutively active EGFR	33	0.66	0.847806292854731
Alternative complement activation	3	0.06	0.239897937482095
Double-Strand Break Repair	33	0.66	1.22240979801608
mTORC1-mediated signalling	19	0.38	0.923392149210989
NCAM signaling for neurite out-growth	89	1.78	2.95054474389295
Glycoprotein hormones	10	0.2	0.571428571428571
Heme biosynthesis	6	0.12	0.385449644663773
Early Phase of HIV Life Cycle	12	0.24	0.656521445318632
Activation of DNA fragmentation factor	10	0.2	0.494871659305394
Gap-filling DNA repair synthesis and ligation in TC-NER	22	0.44	1.09096474811639
CYP2E1 reactions	9	0.18	1.00387006232919
Transcriptional activation of mitochondrial biogenesis	60	1.2	1.37023757808935
Pyrophosphate hydrolysis	2	0.04	0.197948663722157
Ethanol oxidation	5	0.1	0.364215679542342
Nuclear import of Rev protein	46	0.92	1.29109983173657
REV-ERBA represses gene expression	40	0.8	0.96890428330361
ER to Golgi Transport	8	0.16	0.467734444106997
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	17	0.34	0.717421687399412
Beta defensins	46	0.92	2.50582993706065
ADP signalling through P2Y purinoceptor 1	10	0.2	0.451753951452626
Toll Like Receptor 7/8 (TLR7/8) Cascade	92	1.84	2.17930900863142
Acyl chain remodelling of PG	12	0.24	0.4314191105869
Insulin receptor recycling	38	0.76	1.28666631419402
Recycling of eIF2:GDP	5	0.1	0.364215679542342
Collagen formation	141	2.82	3.85814801717728
Retrograde neurotrophin signalling	9	0.18	0.388087934491604
Formation of annular gap junctions	8	0.16	0.467734444106997
MPS IIIB - Sanfilippo syndrome B	177	3.54	4.28195072844333
Activation of BMF and translocation to mitochondria	1	0.02	0.14142135623731
Spry regulation of FGF signaling	22	0.44	0.540596797954986
SMAD2/3 MH2 Domain Mutants in Cancer	73	1.46	1.99192246386269
Keratan sulfate/keratin metabolism	45	0.9	1.56817845715001
TGF-beta receptor signaling activates SMADs	24	0.48	1.2162169516453
Negative regulators of RIG-I/MDA5 signaling	32	0.64	1.33645892154589
"Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2"	6	0.12	0.47979587496419
Autodegradation of the E3 ubiquitin ligase COP1	84	1.68	2.09411225163528
Conjugation of salicylate with glycine	9	0.18	0.62889602008729
FGFR3 ligand binding and activation	20	0.4	0.782460796435952
cGMP effects	27	0.54	0.930437685024788
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"	136	2.72	3.65356968300475
Synthesis of PC	23	0.46	0.613121820967855
Nuclear signaling by ERBB4	49	0.98	1.67197793169696
Costimulation by the CD28 family	72	1.44	1.99141012494019
Signal transduction by L1	39	0.78	1.16566526507573
Toll Like Receptor TLR1:TLR2 Cascade	95	1.9	2.23378511015884
Mitotic Spindle Checkpoint	39	0.78	0.995705062470093
3' -UTR-mediated translational regulation	96	1.92	2.75414344623678
Folding of actin by CCT/TriC	9	0.18	0.560247758603645
Toll Like Receptor 2 (TLR2) Cascade	95	1.9	2.23378511015884
Regulation of APC/C activators between G1/S and early anaphase	108	2.16	2.84540445817677
GP1b-IX-V activation signalling	27	0.54	0.705951377177476
Signaling by NOTCH4	17	0.34	0.557325977232319
APC/C-mediated degradation of cell cycle proteins	115	2.3	2.96407056017806
Phosphorylation of CD3 and TCR zeta chains	12	0.24	0.476380914300945
t(4;14) translocations of FGFR3	1	0.02	0.14142135623731
Base Excision Repair	22	0.44	1.16338703265728
Amino Acid conjugation	10	0.2	0.728431359084684
Conjugation of benzoate with glycine	6	0.12	0.520596204522531
Abnormal metabolism in phenylketonuria	3	0.06	0.239897937482095
Influenza Life Cycle	139	2.78	3.54153201024526
p53-Independent DNA Damage Response	66	1.32	2.15179090100145
Postsynaptic nicotinic acetylcholine receptors	24	0.48	0.886174995386904
Vitamin C (ascorbate) metabolism	4	0.08	0.444467119602973
Regulation of beta-cell development	50	1	1.29362644830535
SHC-related events	24	0.48	0.735124590301063
