	DFCI.11-104.02-Tumor COMB.csv	DFCI.11-104.13 COMB.csv	MO_1008-Tumor_Bone COMB.csv	MO_1008-Tumor_Dura COMB.csv	MO_1012-Abdomen COMB.csv	MO_1012-Subcut COMB.csv	MO_1013-Tumour COMB.csv	MO_1014-Tumour COMB.csv	MO_1015-Tumor COMB.csv	MO_1020-Tumor COMB.csv	MO_1021-Tumor COMB.csv	MO_1040-Tumor COMB.csv	MO_1054-Tumor COMB.csv	MO_1074-Tumor COMB.csv	MO_1084-Tumor COMB.csv	MO_1094-Tumor COMB.csv	MO_1095-Tumor COMB.csv	MO_1096-Tumor COMB.csv	MO_1105-Tumor COMB.csv	MO_1114-Tumor COMB.csv	MO_1124-Tumor COMB.csv	MO_1128-Tumor COMB.csv	MO_1130-Tumor COMB.csv	MO_1132-Tumor COMB.csv	MO_1139-Tumor COMB.csv	MO_1162-Tumor COMB.csv	MO_1176-Tumor COMB.csv	MO_1179-Tumor COMB.csv	MO_1184-Tumor COMB.csv	MO_1192-Tumor COMB.csv	MO_1202-Tumor COMB.csv	MO_1215-Tumor COMB.csv	MO_1219-Tumor COMB.csv	MO_1221-Tumor COMB.csv	MO_1232-Tumor COMB.csv	MO_1241-Tumor COMB.csv	MO_1244-Tumor COMB.csv	MO_1249-Tumor COMB.csv	MO_1262-Tumor COMB.csv	MO_1263-Tumor COMB.csv	PROS10448-1115149-Tumor-SM-5EEBJ COMB.csv	PROS10448-SUTC.01115082-Tumor-SM-47C6B COMB.csv	PROS10448-SUTC.01115091-Tumor-SM-4JC71 COMB.csv	PROS10448-SUTC.01115092-Tumor-SM-4JC74 COMB.csv	PROS12319B-SU2C-06115116-Tumor-SM-4W2NB COMB.csv	SC_9009-Tumor COMB.csv	SC_9012-Tumor COMB.csv	SC_9025-Tumor COMB.csv	SC_9063-Tumor COMB.csv	SC_9066-Tumor COMB.csv	P00-000450 COMB.csv	P01-28 COMB.csv	P02-1562 COMB.csv	P02-2035 COMB.csv	P03-1334 COMB.csv	P03-1426 COMB.csv	P03-1906 COMB.csv	P03-2345 COMB.csv	P03-2620 COMB.csv	P03-3391 COMB.csv	P03-3676 COMB.csv	P03-595 COMB.csv	P03-871 COMB.csv	P04-1084 COMB.csv	P04-1243 COMB.csv	P04-1421 COMB.csv	P04-1790 COMB.csv	P04-2599 COMB.csv	P04-2641 COMB.csv	P04-2666 COMB.csv	P04-2740 COMB.csv	P04-47 COMB.csv	P04-594 COMB.csv	P05-2212 COMB.csv	P05-2594 COMB.csv	P05-3436 COMB.csv	P05-3829 COMB.csv	P05-3852 COMB.csv	P05-3859 COMB.csv	P05-620 COMB.csv	P06-1125 COMB.csv	P06-1696 COMB.csv	P06-2325 COMB.csv	P06-3939 COMB.csv	P06-4428 COMB.csv	P07-144 COMB.csv	P07-837 COMB.csv	P08-2516 COMB.csv	P08-590 COMB.csv	P09-120 COMB.csv	P09-1372 COMB.csv	P09-1580 COMB.csv	P09-2497 COMB.csv	P09-649 COMB.csv	PR-00-1165 COMB.csv	PR-00-160 COMB.csv	PR-00-1823 COMB.csv	PR-0099 COMB.csv	PR-01-1934 COMB.csv	PR-01-2382 COMB.csv
ABCA transporters in lipid homeostasis	2	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	1	0	1	0	1	0	0	0	0	0	6	0	0	1	0	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
ABC-family proteins mediated transport	7	1	0	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	1	6	1	0	5	2	1	1	1	4	0	0	2	0	0	9	3	0	1	1	2	0	1	1	3	0	1	0	1	0	0	3	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	2	0	1	0	0	0
ABH2 mediated Reversal of Alkylation Damage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABH3 mediated Reversal of Alkylation Damage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Abnormal metabolism in phenylketonuria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abortive elongation of HIV-1 transcript in the absence of Tat	4	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	2	2	0	0	4	0	0	1	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acetylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetylcholine Binding And Downstream Events	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	3	0	2	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Acetylcholine Neurotransmitter Release Cycle	2	0	0	1	4	3	3	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	3	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
Acetylcholine regulates insulin secretion	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Acrosome Reaction	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activated NOTCH1 Transmits Signal to the Nucleus	1	0	0	1	5	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	3	1	3	2	0	0	3	1	2	1	3	1	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Activated point mutants of FGFR2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	0	0	4	0	3	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0
activated TAK1 mediates p38 MAPK activation	3	1	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	1	0	0	0	1	1	1	2	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activated TLR4 signalling	12	4	3	2	7	4	0	3	4	0	0	2	0	3	0	0	0	1	0	1	1	2	8	1	2	7	1	10	0	2	1	1	0	6	5	2	3	2	2	2	0	2	2	4	2	2	0	0	2	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	0	1	2	0
Activation and oligomerization of BAK protein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of AMPA receptors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	15	1	0	1	4	6	2	1	1	2	0	0	0	1	1	0	1	2	0	1	1	1	2	0	2	6	3	7	2	1	1	0	1	10	5	3	1	2	5	0	0	1	0	1	2	2	1	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
Activation of ATR in response to replication stress	12	0	0	0	5	4	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	3	1	8	0	0	0	0	0	1	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Activation of BAD and translocation to mitochondria	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Activation of BH3-only proteins	5	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	1	0	0	1	1	3	0	1	2	2	3	0	1	2	1	0	1	2	1	1	1	1	1	0	1	1	1	1	0	3	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Activation of BIM and translocation to mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of BMF and translocation to mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of C3 and C5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Activation of CaMK IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of Ca-permeable Kainate Receptor	2	0	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of caspases through apoptosome-mediated cleavage	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of DNA fragmentation factor	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of G protein gated Potassium channels	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of GABAB receptors	2	0	2	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	4	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of gene expression by SREBF (SREBP)	7	1	5	2	4	2	2	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0	4	1	1	6	0	8	0	0	2	0	0	4	1	1	0	1	3	0	0	0	2	3	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of Kainate Receptors upon glutamate binding	4	0	0	0	1	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	1	0	1	1	1	0	0	2	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of Matrix Metalloproteinases	2	1	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	2	2	1	0	1	0	1	0	2	1	1	1	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of Na-permeable Kainate Receptors	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Activation of NF-kappaB in B cells	14	0	0	0	4	5	2	2	3	2	0	0	0	0	1	0	0	2	0	0	1	0	3	0	1	6	2	6	0	0	1	0	0	6	5	3	1	2	4	0	0	1	0	2	3	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
Activation of Nicotinic Acetylcholine Receptors	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	3	0	2	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
